region,trial,m,m_from_filename,uncovered_area,overlap_percentage,ocr_success,filename,filepath
0,5,53,53,7.501293,11.91,True,m_53_trial_5.png,Results/region_0/trial_5/m_53_trial_5.png
0,5,54,54,6.155623,12.61,True,m_54_trial_5.png,Results/region_0/trial_5/m_54_trial_5.png
0,5,55,55,5.019845,13.34,True,m_55_trial_5.png,Results/region_0/trial_5/m_55_trial_5.png
0,6,42,42,49.524415,4.75,True,m_42_trial_6.png,Results/region_0/trial_6/m_42_trial_6.png
0,6,43,43,43.483365,5.17,True,m_43_trial_6.png,Results/region_0/trial_6/m_43_trial_6.png
0,6,44,44,38.116769,5.99,True,m_44_trial_6.png,Results/region_0/trial_6/m_44_trial_6.png
0,6,45,45,32.67207,6.5,True,m_45_trial_6.png,Results/region_0/trial_6/m_45_trial_6.png
0,6,46,46,28.213476,7.05,True,m_46_trial_6.png,Results/region_0/trial_6/m_46_trial_6.png
0,6,47,47,25.321003,7.78,True,m_47_trial_6.png,Results/region_0/trial_6/m_47_trial_6.png
0,6,48,48,21.777035,8.52,True,m_48_trial_6.png,Results/region_0/trial_6/m_48_trial_6.png
0,6,49,49,18.555037,9.51,True,m_49_trial_6.png,Results/region_0/trial_6/m_49_trial_6.png
0,6,50,50,14.178669,10.03,True,m_50_trial_6.png,Results/region_0/trial_6/m_50_trial_6.png
0,6,51,51,11.70948,10.52,True,m_51_trial_6.png,Results/region_0/trial_6/m_51_trial_6.png
0,6,52,52,9.346777,11.06,True,m_52_trial_6.png,Results/region_0/trial_6/m_52_trial_6.png
0,6,53,53,7.879677,12.13,True,m_53_trial_6.png,Results/region_0/trial_6/m_53_trial_6.png
0,6,54,54,6.031045,12.86,True,m_54_trial_6.png,Results/region_0/trial_6/m_54_trial_6.png
0,6,55,55,4.896695,14.03,True,m_55_trial_6.png,Results/region_0/trial_6/m_55_trial_6.png
0,7,42,42,49.500645,4.72,True,m_42_trial_7.png,Results/region_0/trial_7/m_42_trial_7.png
0,7,43,43,43.452583,5.17,True,m_43_trial_7.png,Results/region_0/trial_7/m_43_trial_7.png
0,7,44,44,38.159657,6.0,True,m_44_trial_7.png,Results/region_0/trial_7/m_44_trial_7.png
0,7,45,45,32.947861,6.47,True,m_45_trial_7.png,Results/region_0/trial_7/m_45_trial_7.png
0,7,46,46,28.508774,7.11,True,m_46_trial_7.png,Results/region_0/trial_7/m_46_trial_7.png
0,7,47,47,24.925937,7.95,True,m_47_trial_7.png,Results/region_0/trial_7/m_47_trial_7.png
0,7,48,48,21.307452,8.48,True,m_48_trial_7.png,Results/region_0/trial_7/m_48_trial_7.png
0,7,49,49,18.628239,9.51,True,m_49_trial_7.png,Results/region_0/trial_7/m_49_trial_7.png
0,7,50,50,14.705982,10.29,True,m_50_trial_7.png,Results/region_0/trial_7/m_50_trial_7.png
0,7,51,51,11.638683,10.65,True,m_51_trial_7.png,Results/region_0/trial_7/m_51_trial_7.png
0,7,52,52,9.004702,10.88,True,m_52_trial_7.png,Results/region_0/trial_7/m_52_trial_7.png
0,7,53,53,7.585374,11.77,True,m_53_trial_7.png,Results/region_0/trial_7/m_53_trial_7.png
0,7,54,54,6.148492,12.63,True,m_54_trial_7.png,Results/region_0/trial_7/m_54_trial_7.png
0,7,55,55,4.510071,13.04,True,m_55_trial_7.png,Results/region_0/trial_7/m_55_trial_7.png
0,8,42,42,49.517646,4.67,True,m_42_trial_8.png,Results/region_0/trial_8/m_42_trial_8.png
0,8,43,43,43.471025,5.15,True,m_43_trial_8.png,Results/region_0/trial_8/m_43_trial_8.png
0,8,44,44,38.066122,5.95,True,m_44_trial_8.png,Results/region_0/trial_8/m_44_trial_8.png
0,8,45,45,32.666346,6.51,True,m_45_trial_8.png,Results/region_0/trial_8/m_45_trial_8.png
0,8,46,46,28.166488,7.08,True,m_46_trial_8.png,Results/region_0/trial_8/m_46_trial_8.png
0,8,47,47,24.579004,7.69,True,m_47_trial_8.png,Results/region_0/trial_8/m_47_trial_8.png
0,8,48,48,21.259786,8.55,True,m_48_trial_8.png,Results/region_0/trial_8/m_48_trial_8.png
0,8,49,49,18.544732,9.47,True,m_49_trial_8.png,Results/region_0/trial_8/m_49_trial_8.png
0,8,50,50,13.93019,9.75,True,m_50_trial_8.png,Results/region_0/trial_8/m_50_trial_8.png
0,8,51,51,11.400975,10.28,True,m_51_trial_8.png,Results/region_0/trial_8/m_51_trial_8.png
0,8,52,52,9.053606,10.7,True,m_52_trial_8.png,Results/region_0/trial_8/m_52_trial_8.png
0,8,53,53,7.498774,11.87,True,m_53_trial_8.png,Results/region_0/trial_8/m_53_trial_8.png
0,8,54,54,6.166464,12.61,True,m_54_trial_8.png,Results/region_0/trial_8/m_54_trial_8.png
0,8,55,55,4.518941,13.2,True,m_55_trial_8.png,Results/region_0/trial_8/m_55_trial_8.png
0,9,42,42,49.533889,4.96,True,m_42_trial_9.png,Results/region_0/trial_9/m_42_trial_9.png
0,9,43,43,43.309576,5.16,True,m_43_trial_9.png,Results/region_0/trial_9/m_43_trial_9.png
0,9,44,44,37.545554,5.68,True,m_44_trial_9.png,Results/region_0/trial_9/m_44_trial_9.png
0,9,45,45,32.490237,6.34,True,m_45_trial_9.png,Results/region_0/trial_9/m_45_trial_9.png
0,9,46,46,28.205392,7.07,True,m_46_trial_9.png,Results/region_0/trial_9/m_46_trial_9.png
0,9,47,47,25.267522,7.94,True,m_47_trial_9.png,Results/region_0/trial_9/m_47_trial_9.png
0,9,48,48,21.285608,8.54,True,m_48_trial_9.png,Results/region_0/trial_9/m_48_trial_9.png
0,9,49,49,18.544495,9.49,True,m_49_trial_9.png,Results/region_0/trial_9/m_49_trial_9.png
0,9,50,50,14.20931,10.09,True,m_50_trial_9.png,Results/region_0/trial_9/m_50_trial_9.png
0,9,51,51,11.405522,10.27,True,m_51_trial_9.png,Results/region_0/trial_9/m_51_trial_9.png
0,9,52,52,8.99274,10.78,True,m_52_trial_9.png,Results/region_0/trial_9/m_52_trial_9.png
0,9,53,53,7.507747,11.8,True,m_53_trial_9.png,Results/region_0/trial_9/m_53_trial_9.png
