REGION 0 - SUCCESSFUL EXTRACTIONS (140 images):
Trial | M  | Uncovered Area | Overlap % | Filename
    4 | 26 |     14.394052 |     6.81% | m_26_trial_4.png
    4 | 27 |     11.858983 |     6.73% | m_27_trial_4.png
    4 | 28 |      9.667431 |     7.11% | m_28_trial_4.png
    4 | 29 |      8.522048 |     8.11% | m_29_trial_4.png
    4 | 30 |      5.838299 |    10.39% | m_30_trial_4.png
    4 | 31 |      4.075137 |    11.35% | m_31_trial_4.png
    4 | 32 |      2.786652 |    13.05% | m_32_trial_4.png
    4 | 33 |      2.027483 |    13.59% | m_33_trial_4.png
    5 | 22 |     36.425934 |     4.98% | m_22_trial_5.png
    5 | 23 |     28.683923 |     5.34% | m_23_trial_5.png
    5 | 24 |     23.423608 |     5.96% | m_24_trial_5.png
    5 | 25 |     18.021333 |     6.25% | m_25_trial_5.png
    5 | 26 |     14.391996 |     6.87% | m_26_trial_5.png
    5 | 27 |     11.873118 |     7.00% | m_27_trial_5.png
    5 | 28 |     10.205972 |     8.01% | m_28_trial_5.png
    5 | 29 |      8.540550 |     8.21% | m_29_trial_5.png
    5 | 30 |      5.196292 |    10.11% | m_30_trial_5.png
    5 | 31 |      3.578686 |    10.29% | m_31_trial_5.png
    5 | 32 |      2.343011 |    11.74% | m_32_trial_5.png
    6 | 22 |     36.421763 |     4.81% | m_22_trial_6.png
    6 | 23 |     28.672461 |     5.34% | m_23_trial_6.png
    6 | 24 |     22.966497 |     5.79% | m_24_trial_6.png
    6 | 25 |     18.013073 |     6.24% | m_25_trial_6.png
    6 | 26 |     15.495054 |     6.25% | m_26_trial_6.png
    6 | 27 |     11.847530 |     6.70% | m_27_trial_6.png
    6 | 28 |      9.674628 |     7.12% | m_28_trial_6.png
    6 | 29 |      7.717305 |     8.41% | m_29_trial_6.png
    6 | 30 |      5.185133 |     9.93% | m_30_trial_6.png
    6 | 31 |      3.625448 |    11.06% | m_31_trial_6.png
    6 | 32 |      2.488357 |    12.15% | m_32_trial_6.png
    7 | 22 |     36.415967 |     5.09% | m_22_trial_7.png
    7 | 23 |     28.707951 |     5.29% | m_23_trial_7.png
    7 | 24 |     23.410007 |     5.85% | m_24_trial_7.png
    7 | 25 |     18.035401 |     6.31% | m_25_trial_7.png
    7 | 26 |     14.399925 |     6.77% | m_26_trial_7.png
    7 | 27 |     11.842145 |     6.67% | m_27_trial_7.png
    7 | 28 |      9.663163 |     7.11% | m_28_trial_7.png
    7 | 29 |      7.056969 |     8.98% | m_29_trial_7.png
    7 | 30 |      5.373492 |     9.58% | m_30_trial_7.png
    7 | 31 |      3.702400 |    11.43% | m_31_trial_7.png
    7 | 32 |      2.555919 |    12.86% | m_32_trial_7.png
    8 | 22 |     36.425934 |     4.98% | m_22_trial_8.png
    8 | 23 |     28.694719 |     5.30% | m_23_trial_8.png
    8 | 24 |     22.954409 |     5.79% | m_24_trial_8.png
    8 | 25 |     18.029146 |     6.28% | m_25_trial_8.png
    8 | 26 |     14.401189 |     6.80% | m_26_trial_8.png
    8 | 27 |     11.847365 |     6.69% | m_27_trial_8.png
    8 | 28 |      9.364258 |     7.86% | m_28_trial_8.png
    8 | 29 |      7.622021 |     9.46% | m_29_trial_8.png
    8 | 30 |      5.824775 |    10.69% | m_30_trial_8.png
    8 | 31 |      4.436864 |    12.42% | m_31_trial_8.png
    8 | 32 |      3.196466 |    13.93% | m_32_trial_8.png
    8 | 33 |      2.032991 |    14.88% | m_33_trial_8.png
    9 | 22 |     36.425934 |     4.98% | m_22_trial_9.png
    9 | 23 |     28.696385 |     5.37% | m_23_trial_9.png
    9 | 24 |     23.424337 |     5.82% | m_24_trial_9.png
    9 | 25 |     18.021205 |     6.33% | m_25_trial_9.png
    9 | 26 |     14.385989 |     6.77% | m_26_trial_9.png
    9 | 27 |     11.836364 |     6.63% | m_27_trial_9.png
    9 | 28 |      9.664866 |     7.13% | m_28_trial_9.png
    9 | 29 |      7.695550 |     8.33% | m_29_trial_9.png
    9 | 30 |      5.019097 |     9.58% | m_30_trial_9.png
    9 | 31 |      3.559639 |    10.37% | m_31_trial_9.png
    9 | 32 |      2.304876 |    11.18% | m_32_trial_9.png

REGION 2 - SUCCESSFUL EXTRACTIONS (189 images):
Trial | M  | Uncovered Area | Overlap % | Filename
------------------------------------------------------------
    0 | 74 |     72.311571 |     5.01% | m_74_trial_0.png
    0 | 75 |     66.310346 |     5.33% | m_75_trial_0.png
    0 | 76 |     58.673343 |     5.58% | m_76_trial_0.png
    0 | 77 |     52.146426 |     6.02% | m_77_trial_0.png
    0 | 78 |     47.392763 |     6.65% | m_78_trial_0.png
    0 | 79 |     42.907162 |     6.96% | m_79_trial_0.png
    0 | 80 |     36.856109 |     7.39% | m_80_trial_0.png
    0 | 81 |     33.079208 |     7.84% | m_81_trial_0.png
    0 | 82 |     29.644873 |     8.35% | m_82_trial_0.png
    0 | 83 |     26.135196 |     8.97% | m_83_trial_0.png
    0 | 84 |     23.573595 |     9.69% | m_84_trial_0.png
    0 | 85 |     21.141960 |    10.01% | m_85_trial_0.png
    0 | 86 |     19.675923 |    10.77% | m_86_trial_0.png
    0 | 87 |     17.613668 |    11.28% | m_87_trial_0.png
    0 | 88 |     15.537895 |    12.38% | m_88_trial_0.png
    0 | 89 |     13.504765 |    13.01% | m_89_trial_0.png
    0 | 90 |     11.987634 |    13.30% | m_90_trial_0.png
    0 | 91 |     10.296884 |    13.91% | m_91_trial_0.png
    0 | 92 |      8.222972 |    14.36% | m_92_trial_0.png
    1 | 74 |     72.346779 |     5.02% | m_74_trial_1.png
    1 | 75 |     66.219798 |     5.39% | m_75_trial_1.png
    1 | 76 |     58.740179 |     5.62% | m_76_trial_1.png
    1 | 77 |     52.252388 |     6.02% | m_77_trial_1.png
    1 | 78 |     47.426905 |     6.61% | m_78_trial_1.png
    1 | 79 |     41.035554 |     6.85% | m_79_trial_1.png
    1 | 80 |     36.751248 |     7.34% | m_80_trial_1.png
    1 | 81 |     32.980620 |     7.82% | m_81_trial_1.png
    1 | 82 |     29.647365 |     8.37% | m_82_trial_1.png
    1 | 83 |     26.241589 |     9.02% | m_83_trial_1.png
    1 | 84 |     23.459857 |    10.00% | m_84_trial_1.png
    1 | 85 |     20.782794 |    10.36% | m_85_trial_1.png
    1 | 86 |     19.225203 |    11.00% | m_86_trial_1.png
    1 | 87 |     17.104752 |    11.48% | m_87_trial_1.png
    1 | 88 |     14.869212 |    12.02% | m_88_trial_1.png
    1 | 89 |     13.086162 |    12.39% | m_89_trial_1.png
    1 | 90 |     11.401361 |    12.83% | m_90_trial_1.png
    1 | 91 |      9.501476 |    13.45% | m_91_trial_1.png
    1 | 92 |      8.084853 |    14.20% | m_92_trial_1.png
    2 | 74 |     72.327221 |     4.99% | m_74_trial_2.png
    2 | 75 |     66.199572 |     5.38% | m_75_trial_2.png
    2 | 76 |     58.894394 |     5.62% | m_76_trial_2.png
    2 | 77 |     51.939921 |     6.09% | m_77_trial_2.png
    2 | 78 |     47.144026 |     6.60% | m_78_trial_2.png
    2 | 79 |     42.685503 |     7.03% | m_79_trial_2.png
    2 | 80 |     36.635123 |     7.34% | m_80_trial_2.png
    2 | 81 |     32.787651 |     7.76% | m_81_trial_2.png
    2 | 82 |     29.507381 |     8.48% | m_82_trial_2.png
    2 | 83 |     26.169916 |     8.96% | m_83_trial_2.png
    2 | 84 |     23.617372 |     9.71% | m_84_trial_2.png
    2 | 85 |     21.183993 |    10.22% | m_85_trial_2.png
    2 | 86 |     19.345044 |    10.52% | m_86_trial_2.png
    2 | 87 |     16.384876 |    10.89% | m_87_trial_2.png
    2 | 88 |     14.756113 |    11.64% | m_88_trial_2.png
    2 | 89 |     13.480531 |    11.89% | m_89_trial_2.png
    2 | 90 |     11.937776 |    12.18% | m_90_trial_2.png
    2 | 91 |     10.507928 |    12.81% | m_91_trial_2.png
    2 | 92 |      8.870488 |    13.56% | m_92_trial_2.png
    3 | 74 |     72.678638 |     5.05% | m_74_trial_3.png
    3 | 75 |     65.176145 |     5.39% | m_75_trial_3.png
    3 | 76 |     58.979774 |     5.64% | m_76_trial_3.png
    3 | 77 |     51.953703 |     6.04% | m_77_trial_3.png
    3 | 78 |     45.679737 |     6.36% | m_78_trial_3.png
    3 | 79 |     40.980459 |     6.89% | m_79_trial_3.png
    3 | 80 |     36.734384 |     7.36% | m_80_trial_3.png
    3 | 81 |     33.378600 |     7.94% | m_81_trial_3.png
    3 | 82 |     29.602363 |     8.38% | m_82_trial_3.png
    3 | 83 |     26.195673 |     9.01% | m_83_trial_3.png
    3 | 84 |     23.614877 |     9.73% | m_84_trial_3.png
    3 | 85 |     21.173979 |    10.00% | m_85_trial_3.png
    3 | 86 |     19.572337 |    10.85% | m_86_trial_3.png
    3 | 87 |     17.502001 |    11.31% | m_87_trial_3.png
